ID,ICAOCode,CityCode,CityName,State,CountryCode,AirportCode,AirportName,LocationCode,LatLng,CountryName,TimeZone,Weight,IsSuspicious,DBSource
50175,NULL,HAR,Harrisburg,NULL,US,USA,MDT,NULL,NULL,United States,NULL,0,0,byo-prod-sqlmi01.7d0116b75694.database.windows.net
45834,NULL,AAA,Anaa,,PF,AAA,Anaa Airport,2,NULL,French Polynesia,Pacific/Gambier,10000,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
40665,NULL,AAB,Arrabury,,AU,AAB,,2,NULL,Australia,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
43314,NULL,AAC,El Arish,,EG,AAC,El Arish International Airport,2,NULL,Egypt,Africa/Cairo,10000,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
46774,NULL,AAD,Ad-Dabbah,,SD,AAD,,2,NULL,Sudan,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
43232,NULL,AAE,Annaba,,DZ,AAE,Rabah Bitat Airport,2,NULL,Algeria,Africa/Algiers,10000,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
47318,NULL,AAF,Apalachicola,,US,AAF,Municipal,2,NULL,United States,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
41411,NULL,AAG,Arapoti,,BR,AAG,,2,NULL,Brazil,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
43089,NULL,AAH,Aachen,,DE,AAH,Merzbrueck,2,NULL,Germany,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
41416,NULL,AAI,Arraias,,BR,AAI,,2,NULL,Brazil,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
46924,NULL,AAJ,Awaradam,,SR,AAJ,Cayana Airstrip,2,NULL,Suriname,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
44776,NULL,AAK,Aranuka,,KI,AAK,,2,NULL,Kiribati,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
43194,NULL,AAL,Aalborg,,DK,AAL,Aalborg Airport,2,NULL,Denmark,Europe/Copenhagen,742,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
49985,NULL,AAM,Mala Mala,,ZA,AAM,Mala Mala Arpt,2,NULL,South Africa,Africa/Johannesburg,10000,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
40434,NULL,AAN,Al Ain,,AE,AAN,Al Ain International Airport,2,NULL,United Arab Emirates,Asia/Dubai,1612,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
49764,NULL,AAO,Anaco,,VE,AAO,,2,NULL,Venezuela,NULL,0,0,aby-prod-sqlmi01.9558381cc5a7.database.windows.net
